line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-0dee8757eade6dca0,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.989167,8,3.9958335
i-0dfaab38130f64557,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.991389,8,3.9945835
i-0e1275c7c96c2592d,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances:0002,DiscountedUsage,0.5,5.0,5,0.4325
i-0e49e9c74da064817,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.995833,8,3.993611
i-0e7d2d8f30bf577d5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,26.203333,45,0.0555555
i-0e869b8dedca65724,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.994722,8,3.9941665
i-0ec1b7783416bc958,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.988611,8,3.9970835
i-0f0f0d330d3735c35,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.999722,10,0.011111
i-0f0f7686a66918ee1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,9.763889,16,3.992778
i-0f273c5daf38267b1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.989444,8,3.9841665
i-0f38a38cd8c7fdf16,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,8.0,8,3.993611
i-0f44a06ef35282333,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.991111,8,3.9943055
i-0f50abc1081a55185,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,8.0,8,3.994722
i-0f6011f7fc36d46ee,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,242.0,244,3.99125
i-0f6a57f12c94805ff,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:c5.large,c5,c5.large,RunInstances,DiscountedUsage,4.0,933.847778,934,3.995139
i-0f92585c14131a43b,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.9875,10,3.992639
i-0f93060352e3d6a9c,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.989722,8,3.9994445
