line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-09c4d77373b196ae0,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,1.6875,2,0.84375
i-09d8e1542d632d7fb,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993056,8,3.996528
i-09eb54f1475cf41b1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993889,8,3.9969445
i-0a084c54c99244dc9,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,133.281944,134,66.640972
i-0a242b630617ab157,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.991111,8,3.9955555
i-0a3b8dbd53fb5d11e,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.986389,8,3.9931945
i-0a4a5639c58eb405a,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988889,8,3.9944445
i-0a4dd49248252c129,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988889,8,3.9944445
i-0a5b222732d66e6ac,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.999167,8,3.9995835
i-0a649b80faa1cdf4f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.991389,8,3.9956945
i-0a6a7ae17508ec5ae,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,8.000833,9,4.0004165
i-0a7aec57ed74c0188,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988611,8,3.9943055
i-0a8133fa4ab27f991,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,1035.243332,1094,517.621666
i-0a9306b3650aa0e82,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,Usage,4.0,0.018333,1,0.073332
i-0aa2961ea41db4aea,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.997778,8,3.998889
i-0aaecf55611e195f8,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988611,8,3.9943055
i-0ac0224238468a157,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9875,8,3.99375
